,WMA value,OBV Value,VPT Value,Adj Close
774,2879.66,,,
775,2880.6,,,
776,2881.57,,,
777,2882.55,,,
778,2883.59,,,
779,2884.77,,,
780,2886.16,,,
781,2887.51,,,
782,2888.72,,,
783,2889.9,,,
784,2891.14,,,
785,2892.43,,,
786,2893.77,,,
787,2895.12,,,
788,2896.34,,,
789,2897.47,,,
790,2898.62,,,
791,2899.78,,,
792,2900.99,,,
793,2902.13,,,
794,2903.04,,,
795,2903.79,,,
796,2904.34,,,
797,2904.74,,,
798,2905.0,,,
799,2905.19,,,
800,2905.26,,,
801,2905.24,,,
802,2904.97,,,
803,2904.5,,,
804,2903.87,,,
805,2903.13,,,
806,2902.33,,,
807,2901.46,,,
808,2900.52,,,
809,2899.63,,,
810,2898.57,,,
811,2897.57,,,
812,2896.7,,,
813,2895.73,,,
814,2894.54,,,
815,2893.13,,,
816,2891.44,,,
817,2889.43,,,
818,2887.52,,,
819,2885.72,,,
820,2883.91,,,
821,2882.07,,,
822,2880.15,,,
823,2878.19,,,
824,2876.19,,,
825,2874.05,,,
826,2871.96,,,
827,2869.9,,,
828,2867.94,,,
829,2866.06,,,
830,2864.47,,,
831,2862.97,,,
832,2861.61,,,
833,2860.4,,,
834,2859.29,,,
835,2858.32,,,
836,2857.38,,,
837,2856.47,,,
838,2855.59,,,
839,2854.63,,,
840,2853.73,,,
841,2852.82,,,
842,2851.9,,,
843,2851.11,,,
844,2850.55,,,
845,2850.2,,,
846,2850.11,,,
847,2850.31,,,
848,2850.42,,,
849,2850.44,,,
850,2850.44,,,
851,2850.47,,,
852,2850.55,,,
853,2850.67,,,
854,2850.88,,,
855,2851.22,,,
856,2851.5,,,
857,2851.77,,,
858,2852.02,,,
859,2852.19,,,
860,2852.26,,,
861,2852.32,,,
862,2852.44,,,
863,2852.58,,,
864,2852.79,,,
865,2853.04,,,
866,2853.32,,,
867,2853.62,,,
868,2853.91,,,
869,2854.16,,,
870,2854.32,,,
871,2854.39,,,
